1	Aceite 123	40.0	40.0	60	General	📦	0	/img/Aceite_123.jpg	0
2	Aceite Galon	54.12	54.12	56	General	📦	0	/img/Aceite_Galon.jpg	0
3	Aceite Ybarra	47.11	47.11	50	General	📦	0	/img/Aceite_Ybarra.jpg	0
4	Aceite spray	44.51	44.51	23	General	📦	3	/img/Aceite_spray.jpg	0
5	Aceitunas	56.54	56.54	70	General	📦	0	/img/Aceitunas.jpg	0
6	Aceitunas Deshuesadas	47.76	47.76	59	General	📦	0	/img/Aceitunas_Deshuesadas.jpg	0
7	Aceitunas Manzanilla	20.08	20.08	42	General	📦	0	/img/Aceitunas_Manzanilla.jpg	0
8	Aceitunas Pimiento	26.31	26.31	14	General	📦	0	/img/Aceitunas_Pimiento.jpg	0
9	Aceitunas Rodajas	38.7	38.7	42	General	📦	0	/img/Aceitunas_Rodajas.jpg	0
10	Agua	53.44	53.44	88	General	📦	0	/img/Agua.jpg	0
11	AguaBonafont	28.67	28.67	26	General	📦	0	/img/AguaBonafont.jpg	0
12	AguaBonafont galon	58.84	58.84	75	General	📦	0	/img/AguaBonafont_galon.jpg	0
13	AguaCiel	58.18	58.18	65	General	📦	0	/img/AguaCiel.jpg	0
14	AguaCiel 600	60.0	60.0	90	General	📦	0	/img/AguaCiel_600.jpg	0
15	AguaCiel Galon	37.6	37.6	30	General	📦	0	/img/AguaCiel_Galon.jpg	0
16	AguaCiel Litro	38.4	38.4	96	General	📦	0	/img/AguaCiel_Litro.jpg	0
17	AguaEpura	29.94	29.94	76	General	📦	0	/img/AguaEpura.jpg	0
18	AguaEpura Galon	56.0	56.0	57	General	📦	0	/img/AguaEpura_Galon.jpg	0
19	AguaFiel	28.22	28.22	72	General	📦	0	/img/AguaFiel.jpg	0
20	AguaMineral Schweppes	57.56	57.56	73	General	📦	0	/img/AguaMineral_Schweppes.jpg	0
21	Agua Skarch	44.9	44.9	60	General	📦	0	/img/Agua_Skarch.jpg	0
22	Agua judas	54.19	54.19	51	General	📦	0	/img/Agua_judas.jpg	0
23	Agua tehuacan litro	27.08	27.08	14	General	📦	0	/img/Agua_tehuacan_litro.jpg	0
24	Agua tehuacas	47.55	47.55	52	General	📦	0	/img/Agua_tehuacas.jpg	0
25	Alcaparras	32.29	32.29	52	General	📦	0	/img/Alcaparras.jpg	0
26	Alubias	43.09	43.09	68	General	📦	0	/img/Alubias.jpg	0
27	Always Noches	35.9	35.9	70	General	📦	0	/img/Always_Noches.jpg	0
28	Always PT	24.93	24.93	37	General	📦	0	/img/Always_PT.jpg	0
29	Always diarias	17.09	17.09	100	General	📦	0	/img/Always_diarias.jpg	0
30	Always noche	30.47	30.47	66	General	📦	0	/img/Always_noche.jpg	0
31	Arroz	36.9	36.9	93	General	📦	0	/img/Arroz.jpg	0
32	Bonafont 600	60.0	60.0	99	General	📦	0	/img/Bonafont_600.jpg	0
33	Bonafont Litro	56.11	56.11	61	General	📦	0	/img/Bonafont_Litro.jpg	0
34	Canelones	32.73	32.73	89	General	📦	0	/img/Canelones.jpg	0
35	Champiñones	58.28	58.28	12	General	📦	0	/img/Champiñones.jpg	0
36	Chicaro Zanahoria bolsa	32.35	32.35	86	General	📦	0	/img/Chicaro_Zanahoria_bolsa.jpg	0
37	Chicaros bolsa	46.58	46.58	39	General	📦	0	/img/Chicaros_bolsa.jpg	0
38	Chicharos	42.42	42.42	92	General	📦	0	/img/Chicharos.jpg	0
39	Chicharos Zanahorias	27.6	27.6	59	General	📦	0	/img/Chicharos_Zanahorias.jpg	0
40	Chile serrano	59.52	59.52	94	General	📦	0	/img/Chile_serrano.jpg	0
41	Chiles Gueros	28.86	28.86	59	General	📦	0	/img/Chiles_Gueros.jpg	0
42	Chiles rodajas	18.54	18.54	49	General	📦	0	/img/Chiles_rodajas.jpg	0
43	Chipotles	44.82	44.82	66	General	📦	0	/img/Chipotles.jpg	0
44	CidralMundet	58.68	58.68	38	General	📦	0	/img/CidralMundet.jpg	0
45	Ciel galon	21.59	21.59	32	General	📦	0	/img/Ciel_galon.jpg	0
46	Coca2Litros	15.0	15.0	22	General	📦	0	/img/Coca2Litros.jpg	0
47	CocaLight 2Litros	15.0	15.0	77	General	📦	0	/img/CocaLight_2Litros.jpg	0
48	CocaLight 600	60.0	60.0	55	General	📦	0	/img/CocaLight_600.jpg	0
49	CocaLigth Lata	41.9	41.9	40	General	📦	0	/img/CocaLigth_Lata.jpg	0
50	CocaSinAzucar	30.78	30.78	48	General	📦	0	/img/CocaSinAzucar.jpg	0
51	Coca 300	60.0	60.0	60	General	📦	0	/img/Coca_300.jpg	0
52	Coca 355	60.0	60.0	94	General	📦	0	/img/Coca_355.jpg	0
53	Coca 3Litros	15.0	15.0	75	General	📦	0	/img/Coca_3Litros.jpg	0
54	Coca SinAzucar 600	60.0	60.0	49	General	📦	0	/img/Coca_SinAzucar_600.jpg	0
55	Combinado Primavera	56.59	56.59	60	General	📦	0	/img/Combinado_Primavera.jpg	0
56	Combo Coca 600	60.0	60.0	84	General	📦	0	/img/Combo_Coca_600.jpg	0
57	Desodorante	57.14	57.14	87	General	📦	0	/img/Desodorante.jpg	0
58	Duraznos almibar	53.88	53.88	83	General	📦	0	/img/Duraznos_almibar.jpg	0
59	Elote Rajas	58.71	58.71	20	General	📦	0	/img/Elote_Rajas.jpg	0
60	Elote dorado	52.73	52.73	59	General	📦	0	/img/Elote_dorado.jpg	0
61	Enjuage Listerine	32.71	32.71	73	General	📦	0	/img/Enjuage_Listerine.jpg	0
62	Ensalada Campesina	51.72	51.72	21	General	📦	0	/img/Ensalada_Campesina.jpg	0
63	Ensalada verduras	58.89	58.89	31	General	📦	0	/img/Ensalada_verduras.jpg	0
64	Epura Litro	17.72	17.72	30	General	📦	0	/img/Epura_Litro.jpg	0
65	Epura galon	17.54	17.54	89	General	📦	0	/img/Epura_galon.jpg	0
66	Esparragos	31.9	31.9	20	General	📦	0	/img/Esparragos.jpg	0
